sample;annotation
Кофе Арабика «Московская кофейня на паяхъ»;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND'), (12, 22, 'I-BRAND'), (23, 29, 'I-BRAND'), (30, 31, 'I-BRAND'), (32, 38, 'I-BRAND')]
Люкс;[(1, 5, 'B-BRAND')]
От фермера,Молочный мир;[(1, 2, 'B-BRAND'), (3, 18, 'I-BRAND'), (19, 22, 'I-BRAND')]
читайна;[(1, 8, 'B-BRAND')]
Молочный Дождик;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Маккорн;[(1, 8, 'B-BRAND')]
Анаком;[(1, 7, 'B-BRAND')]
Русский продукт;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
История;[(1, 8, 'B-BRAND')]
Лукашинские закуски;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Останкинский;[(1, 13, 'B-BRAND')]
Baraka;[(1, 7, 'B-BRAND')]
La Paulina;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND')]
Кухня без гран;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
Polet, Полёт;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Баланс долголетия;[(1, 6, 'B-BRAND'), (7, 17, 'I-BRAND')]
Малаховский;[(1, 12, 'B-BRAND')]
wrigley's;[(1, 10, 'B-BRAND')]
Эзен;[(1, 5, 'B-BRAND')]
Ди энд Ди;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 8, 'I-BRAND')]
MTABI;[(1, 6, 'B-BRAND')]
Мироторг;[(1, 9, 'B-BRAND')]
Česká chuť;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Я.Лавка;[(1, 8, 'B-BRAND')]
доктор вкус;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Campa;[(1, 6, 'B-BRAND')]
черноголовка;[(1, 13, 'B-BRAND')]
ideals;[(1, 7, 'B-BRAND')]
АО ЙОШКАР-ОЛИНСКИЙ МЯСОКОМБИНАТ;[(1, 2, 'B-BRAND'), (3, 17, 'I-BRAND'), (18, 30, 'I-BRAND')]
Для всей семьи;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 13, 'I-BRAND')]
senf;[(1, 5, 'B-BRAND')]
МКС;[(1, 4, 'B-BRAND')]
Яндекс.Лавка;[(1, 13, 'B-BRAND')]
фабрика им. Крупской;[(1, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 19, 'I-BRAND')]
Люди любят;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Караван сарай;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Uni dan;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Русская нива;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Сытый Папа;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Чудо чудо;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Maxibon,Nestle;[(1, 15, 'B-BRAND')]
Nestle;[(1, 7, 'B-BRAND')]
Veg's family;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Зелёный горошек,Тандер,Промконсервы;[(1, 7, 'B-BRAND'), (8, 35, 'I-BRAND')]
Glazov;[(1, 7, 'B-BRAND')]
Schweppes;[(1, 10, 'B-BRAND')]
Dr.Körner;[(1, 10, 'B-BRAND')]
Кремлевское;[(1, 12, 'B-BRAND')]
Черкиз;[(1, 7, 'B-BRAND')]
Гал;[(1, 4, 'B-BRAND')]
בייגל בייגל;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
ООО Брянская мясная компания;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 17, 'I-BRAND'), (18, 26, 'I-BRAND')]
Море внутри;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Галицкий;[(1, 9, 'B-BRAND')]
Улов дня;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Пивовар Хлебородов,Дека;[(1, 7, 'B-BRAND'), (8, 23, 'I-BRAND')]
Красная цена,X5 Retail Group;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'I-BRAND'), (21, 26, 'I-BRAND')]
Своя Линия;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Сладиал;[(1, 8, 'B-BRAND')]
Royce;[(1, 6, 'B-BRAND')]
Лав Продукт;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
АО Молочный комбинат Ставропольский;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 18, 'I-BRAND'), (19, 33, 'I-BRAND')]
365 сей;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Cat and Co;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 9, 'I-BRAND')]
Яндекс Лавка;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Россия;[(1, 7, 'B-BRAND')]
БИГ ЛАНЧ;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
ООО корпорация Ди энд Ди;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 15, 'I-BRAND'), (16, 18, 'I-BRAND'), (19, 21, 'I-BRAND')]
Магнит Свежесть;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Fitolain;[(1, 9, 'B-BRAND')]
Рыба и точка;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 11, 'I-BRAND')]
Дерево Жизни;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Ш75ГГ;[(1, 6, 'B-BRAND')]
Rostagrocomplex;[(1, 16, 'B-BRAND')]
#2749;[(1, 6, 'B-BRAND')]
Black Monster, Monster;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 21, 'I-BRAND')]
Егорьевская фабрика;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
родное;[(1, 7, 'B-BRAND')]
Новая финикия;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Мцыри;[(1, 6, 'B-BRAND')]
Tsingtao;[(1, 9, 'B-BRAND')]
віста;[(1, 6, 'B-BRAND')]
КВД Яшкино;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Дубинин;[(1, 8, 'B-BRAND')]
помидорка;[(1, 10, 'B-BRAND')]
Kirkland Signature;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
OOO Obyedinenie  Soyzpischeprom;[(1, 3, 'B-BRAND'), (4, 14, 'I-BRAND'), (15, 29, 'I-BRAND')]
Bushido;[(1, 8, 'B-BRAND')]
маф;[(1, 4, 'B-BRAND')]
Alpen gold;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Вимм-Билль-Данн;[(1, 16, 'B-BRAND')]
Алейка;[(1, 7, 'B-BRAND')]
Krosby Denny;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Золотые Злаки Сибири;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 19, 'I-BRAND')]
Тайны востока;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
ГастроноМ;[(1, 10, 'B-BRAND')]
Папа может;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
ЗОЛОТОЙ СТАНДАРТ;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Морское царство;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
АО Белгородский молочный комбинат;[(1, 2, 'B-BRAND'), (3, 14, 'I-BRAND'), (15, 22, 'I-BRAND'), (23, 31, 'I-BRAND')]
Красная цена,Перекрёсток,ТД «Перекрёсток»,Мирана;[(1, 7, 'B-BRAND'), (8, 26, 'I-BRAND'), (27, 47, 'I-BRAND')]
Бакалейный стандарт;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
елизавета;[(1, 10, 'B-BRAND')]
Активия;[(1, 8, 'B-BRAND')]
Double You;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Devi Marco;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
EatMeat;[(1, 8, 'B-BRAND')]
Сенежская;[(1, 10, 'B-BRAND')]
Овсяша;[(1, 7, 'B-BRAND')]
Станция Молочная;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Литвиновские;[(1, 13, 'B-BRAND')]
Примрыбснаб;[(1, 12, 'B-BRAND')]
Иван Солодушкин,ОАО «Дека»;[(1, 4, 'B-BRAND'), (5, 18, 'I-BRAND'), (19, 25, 'I-BRAND')]
Губернія;[(1, 9, 'B-BRAND')]
Переяславль;[(1, 12, 'B-BRAND')]
АгроПрод;[(1, 9, 'B-BRAND')]
Царские Припасы;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
ростагрокомплекс;[(1, 17, 'B-BRAND')]
Кузбасский бройлер;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
Spartak (Спартак);[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND')]
Индилайт;[(1, 9, 'B-BRAND')]
Фастп;[(1, 6, 'B-BRAND')]
Вологодские Молочные Продукты;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND'), (20, 28, 'I-BRAND')]
Кдв;[(1, 4, 'B-BRAND')]
SVAY;[(1, 5, 'B-BRAND')]
Doshirak;[(1, 9, 'B-BRAND')]
Yota;[(1, 5, 'B-BRAND')]
PNB;[(1, 4, 'B-BRAND')]
Президент;[(1, 10, 'B-BRAND')]
Рокишкио;[(1, 9, 'B-BRAND')]
Maxima;[(1, 7, 'B-BRAND')]
Сладкая Слобода;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Timosha;[(1, 8, 'B-BRAND')]
Карусель;[(1, 9, 'B-BRAND')]
Genso;[(1, 6, 'B-BRAND')]
Рецепты Бабушки Агафьи;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND'), (15, 21, 'I-BRAND')]
MilkyWay;[(1, 9, 'B-BRAND')]
ООО МУРМАН-РЫБА;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Русский завтрак;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Азовская;[(1, 9, 'B-BRAND')]
ООО Биофудлаб;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
Oro Español;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Bucheron;[(1, 9, 'B-BRAND')]
Парус;[(1, 6, 'B-BRAND')]
От фермера;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND')]
Bon Giorno;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
NESCAFE;[(1, 8, 'B-BRAND')]
Пятачок;[(1, 8, 'B-BRAND')]
костромской мясокомбинат;[(1, 11, 'B-BRAND'), (12, 24, 'I-BRAND')]
#2748;[(1, 6, 'B-BRAND')]
пепсикоэ;[(1, 9, 'B-BRAND')]
Rene;[(1, 5, 'B-BRAND')]
Dirol;[(1, 6, 'B-BRAND')]
Зеленая Точка;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
High protein bar;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND'), (12, 15, 'I-BRAND')]
Lackmann;[(1, 9, 'B-BRAND')]
Савушкин;[(1, 9, 'B-BRAND')]
калинов родник;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
matti;[(1, 6, 'B-BRAND')]
умут;[(1, 5, 'B-BRAND')]
Aktibio;[(1, 8, 'B-BRAND')]
Вкусы Мира;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
ЗАО Молодец;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Rrrr;[(1, 5, 'B-BRAND')]
Таёжный дар,Таёжный дар. Брусника на травах.,Таёжный дар. Брусника с таёжными травами.;[(1, 7, 'B-BRAND'), (8, 18, 'I-BRAND'), (19, 22, 'I-BRAND'), (23, 30, 'I-BRAND'), (31, 32, 'I-BRAND'), (33, 47, 'I-BRAND'), (48, 51, 'I-BRAND'), (52, 59, 'I-BRAND'), (60, 60, 'I-BRAND'), (61, 68, 'I-BRAND'), (69, 77, 'I-BRAND')]
Варенька;[(1, 9, 'B-BRAND')]
Dr Korner;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
ТК Прогресс;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
РадоГрад Лимон и мёд;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND'), (14, 14, 'I-BRAND'), (15, 18, 'I-BRAND')]
Ladia;[(1, 6, 'B-BRAND')]
Nut Power;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Solemici;[(1, 9, 'B-BRAND')]
Шебекинская,Шебекинская Золотая;[(1, 23, 'B-BRAND'), (24, 31, 'I-BRAND')]
Восточная Фантазия;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
славянка;[(1, 9, 'B-BRAND')]
ОАО 《Лидахлебопродукт》;[(1, 3, 'B-BRAND'), (4, 22, 'I-BRAND')]
Мореслав;[(1, 9, 'B-BRAND')]
Snacker;[(1, 8, 'B-BRAND')]
Carstens, Favorina, Lidl;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND'), (19, 23, 'I-BRAND')]
МАХЕЕВЪ;[(1, 8, 'B-BRAND')]
Сяцпуть;[(1, 8, 'B-BRAND')]
Чистое Море;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
ООО КЕМИКАЛ ТРЕЙДИНГ;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 19, 'I-BRAND')]
МУ Мурёнкино;[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND')]
7DAYS;[(1, 6, 'B-BRAND')]
Десант Здоровья;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
закряжье;[(1, 9, 'B-BRAND')]
лавка;[(1, 6, 'B-BRAND')]
Балтийская,Балтийский берег;[(1, 21, 'B-BRAND'), (22, 27, 'I-BRAND')]
Йогурт;[(1, 7, 'B-BRAND')]
Old John;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Ясные зори;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
ООО Невский кондитер Белинский;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 18, 'I-BRAND'), (19, 28, 'I-BRAND')]
ООО Мельничный комплекс Роса;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 21, 'I-BRAND'), (22, 26, 'I-BRAND')]
морозко;[(1, 8, 'B-BRAND')]
Хлебный базар;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Pringles;[(1, 9, 'B-BRAND')]
Дмитровский Молочный завод;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND'), (20, 25, 'I-BRAND')]
АО ФИРМА НЕВСКАЯ СУШКА;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND'), (8, 14, 'I-BRAND'), (15, 20, 'I-BRAND')]
Микоян;[(1, 7, 'B-BRAND')]
СладКо;[(1, 7, 'B-BRAND')]
Белорусочка;[(1, 12, 'B-BRAND')]
Takemura;[(1, 9, 'B-BRAND')]
Freshclub;[(1, 10, 'B-BRAND')]
Блинная страна;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Матиас;[(1, 7, 'B-BRAND')]
Kopiko;[(1, 7, 'B-BRAND')]
1000 лет мастерства(высший вкус);[(1, 4, 'B-BRAND'), (5, 7, 'I-BRAND'), (8, 24, 'I-BRAND'), (25, 30, 'I-BRAND')]
Коммунарка;[(1, 11, 'B-BRAND')]
Extra;[(1, 6, 'B-BRAND')]
Maestro de oliva;[(1, 7, 'B-BRAND'), (8, 9, 'I-BRAND'), (10, 15, 'I-BRAND')]
ооо грин лайн;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 12, 'I-BRAND')]
ИП Бадалов П.Ю.;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
Супермаркет НК-Сити;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Комплекс-Агро;[(1, 14, 'B-BRAND')]
ИП Джанджулия Д.Д.;[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
ООО Мясокомбинат эко;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 19, 'I-BRAND')]
Madres;[(1, 7, 'B-BRAND')]
Алтайская сказка;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
cretamel;[(1, 9, 'B-BRAND')]
Delicados,Nachos;[(1, 17, 'B-BRAND')]
Schär;[(1, 6, 'B-BRAND')]
Фронери Рус;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Останкинское;[(1, 13, 'B-BRAND')]
Бело-Нежная;[(1, 12, 'B-BRAND')]
Viči,Вичюнай-Русь;[(1, 18, 'B-BRAND')]
Clean tone;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Озёрский сувенир;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Mr. Djemius ZERO;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 15, 'I-BRAND')]
ОАО Геркулес;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Молодежные;[(1, 11, 'B-BRAND')]
50;[(1, 3, 'B-BRAND')]
Фрутзи;[(1, 7, 'B-BRAND')]
KIOKO;[(1, 6, 'B-BRAND')]
ОТТОГИ;[(1, 7, 'B-BRAND')]
Завод им.Пастухова;[(1, 5, 'B-BRAND'), (6, 18, 'I-BRAND')]
ООО ПК Айсберг-люкс;[(1, 3, 'B-BRAND'), (4, 5, 'I-BRAND'), (6, 18, 'I-BRAND')]
Магнит,Тандер,Дека;[(1, 19, 'B-BRAND')]
Три кита;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
БонПари;[(1, 8, 'B-BRAND')]
BigBio, ООО Эверест;[(1, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 18, 'I-BRAND')]
lowitz;[(1, 7, 'B-BRAND')]
Costa del',ЗАО «Агроимпорт»;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 26, 'I-BRAND')]
Айдиго;[(1, 7, 'B-BRAND')]
Пастилушка;[(1, 11, 'B-BRAND')]
ООО Товарное хозяйство;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 21, 'I-BRAND')]
новосибхолод;[(1, 13, 'B-BRAND')]
Rex;[(1, 4, 'B-BRAND')]
ООО Хоффнер;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Честный выбор;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
ХрусTeam;[(1, 9, 'B-BRAND')]
ИП Ушакова Елена Анатольевна;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 14, 'I-BRAND'), (15, 26, 'I-BRAND')]
Parmalat;[(1, 9, 'B-BRAND')]
Праздничная;[(1, 12, 'B-BRAND')]
Северодвинский молочный завод;[(1, 14, 'B-BRAND'), (15, 22, 'I-BRAND'), (23, 28, 'I-BRAND')]
80;[(1, 3, 'B-BRAND')]
John Copper;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Валентина Камышин;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Fortuna;[(1, 8, 'B-BRAND')]
Spar;[(1, 5, 'B-BRAND')]
ООО Чеховский Кондитер Альянс;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 20, 'I-BRAND'), (21, 27, 'I-BRAND')]
Lindt;[(1, 6, 'B-BRAND')]
Русское молоко;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Стм ярч.;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
у палыча;[(1, 1, 'B-BRAND'), (2, 8, 'I-BRAND')]
Добрынинский;[(1, 13, 'B-BRAND')]
cheetos;[(1, 8, 'B-BRAND')]
Афанасий;[(1, 9, 'B-BRAND')]
Царка;[(1, 6, 'B-BRAND')]
жигули;[(1, 7, 'B-BRAND')]
ООО «Медовая семья»;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 18, 'I-BRAND')]
Idea Snacks;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Либенброй;[(1, 10, 'B-BRAND')]
приправыч;[(1, 10, 'B-BRAND')]
ООО Касленд;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
ООО «Хорольский молочный завод»;[(1, 3, 'B-BRAND'), (4, 14, 'I-BRAND'), (15, 22, 'I-BRAND'), (23, 29, 'I-BRAND')]
ООО Открытый огонь;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 17, 'I-BRAND')]
Комикольк;[(1, 10, 'B-BRAND')]
Па́ссим;[(1, 8, 'B-BRAND')]
ООО Красный Город;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 16, 'I-BRAND')]
Пролив,EAC;[(1, 11, 'B-BRAND')]
ЛЕНТА;[(1, 6, 'B-BRAND')]
ЛЮБИМЫЙ;[(1, 8, 'B-BRAND')]
сандора;[(1, 8, 'B-BRAND')]
massana;[(1, 8, 'B-BRAND')]
Машал;[(1, 6, 'B-BRAND')]
SlimVit;[(1, 8, 'B-BRAND')]
Berberana;[(1, 10, 'B-BRAND')]
Проростки;[(1, 10, 'B-BRAND')]
Актуаль;[(1, 8, 'B-BRAND')]
Mr. Ricco;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Белые Вершины;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Ameria;[(1, 7, 'B-BRAND')]
Chupa Chups;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
ООО Мясокомбинат Эко;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 19, 'I-BRAND')]
Alpen Gold;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Д,Зёрнышко к зёрнышку;[(1, 10, 'B-BRAND'), (11, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
ООО МЕДОВЫЙ ДОМ;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 14, 'I-BRAND')]
РК Мир океана;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 12, 'I-BRAND')]
Молочное Царство;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
FrutoBar;[(1, 9, 'B-BRAND')]
Protein REX;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Яблоко;[(1, 7, 'B-BRAND')]
Яровое поле;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Fresco Coffee;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
ООО Белые горы;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
море;[(1, 5, 'B-BRAND')]
Тавр;[(1, 5, 'B-BRAND')]
Немясо;[(1, 7, 'B-BRAND')]
Очаковский;[(1, 11, 'B-BRAND')]
Агрокомплекс;[(1, 13, 'B-BRAND')]
Макларин;[(1, 9, 'B-BRAND')]
Даренка;[(1, 8, 'B-BRAND')]
Эстетика вкуса;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Vilanta;[(1, 8, 'B-BRAND')]
кубанские хлебцы;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Птицефабрика синявинская;[(1, 12, 'B-BRAND'), (13, 24, 'I-BRAND')]
Победа Вкуса;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
ИП Оганян Арарат Юрикович;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND'), (9, 14, 'I-BRAND'), (15, 23, 'I-BRAND')]
индилайт;[(1, 9, 'B-BRAND')]
Фармстандарт;[(1, 13, 'B-BRAND')]
ООО «Гурман»;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
АО Учебно-опытный молочный завод ВГМХА им. Н.В. Верещагина;[(1, 2, 'B-BRAND'), (3, 16, 'I-BRAND'), (17, 24, 'I-BRAND'), (25, 29, 'I-BRAND'), (30, 34, 'I-BRAND'), (35, 37, 'I-BRAND'), (38, 41, 'I-BRAND'), (42, 52, 'I-BRAND')]
Зеленоград Хлеб;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Я люблю готовить,Московский провансаль;[(1, 1, 'B-BRAND'), (2, 6, 'I-BRAND'), (7, 25, 'I-BRAND'), (26, 36, 'I-BRAND')]
Essen Production AG;[(1, 5, 'B-BRAND'), (6, 15, 'I-BRAND'), (16, 18, 'I-BRAND')]
Гродфуд;[(1, 8, 'B-BRAND')]
Шармэль;[(1, 8, 'B-BRAND')]
Птицефабрика Атемарская;[(1, 12, 'B-BRAND'), (13, 23, 'I-BRAND')]
Heinz;[(1, 6, 'B-BRAND')]
Солнечный остров;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Meiji;[(1, 6, 'B-BRAND')]
Krušovice;[(1, 10, 'B-BRAND')]
Пять озер;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Milford;[(1, 8, 'B-BRAND')]
Асеньевская Ферма;[(1, 11, 'B-BRAND'), (12, 17, 'I-BRAND')]
Natura Kamchatka;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND')]
Berni;[(1, 6, 'B-BRAND')]
Карусели;[(1, 9, 'B-BRAND')]
th32275;[(1, 8, 'B-BRAND')]
магия востока;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Традиции Вкуса;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Даниссимо;[(1, 10, 'B-BRAND')]
Click;[(1, 6, 'B-BRAND')]
Домашние заготовки;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
Мелен;[(1, 6, 'B-BRAND')]
чумак;[(1, 6, 'B-BRAND')]
Слетье;[(1, 7, 'B-BRAND')]
Kotanyi;[(1, 8, 'B-BRAND')]
Polezium дары памира;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND'), (13, 19, 'I-BRAND')]
Корвка из Кореновки;[(1, 6, 'B-BRAND'), (7, 8, 'I-BRAND'), (9, 18, 'I-BRAND')]
ООО Промконсервы;[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND')]
Милка;[(1, 6, 'B-BRAND')]
Matti;[(1, 6, 'B-BRAND')]
ФрутоДень;[(1, 10, 'B-BRAND')]
ООО Обнинский консервный завод;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 22, 'I-BRAND'), (23, 28, 'I-BRAND')]
Nemoloko;[(1, 9, 'B-BRAND')]
Мултон;[(1, 7, 'B-BRAND')]
Grizzon;[(1, 8, 'B-BRAND')]
Princessa del Savor;[(1, 9, 'B-BRAND'), (10, 12, 'I-BRAND'), (13, 18, 'I-BRAND')]
МАКФА;[(1, 6, 'B-BRAND')]
Wow;[(1, 4, 'B-BRAND')]
Вереск;[(1, 7, 'B-BRAND')]
ООО Торговый Дом Кондитер;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 14, 'I-BRAND'), (15, 23, 'I-BRAND')]
mlekovita;[(1, 10, 'B-BRAND')]
САВА;[(1, 5, 'B-BRAND')]
САМОКАТ;[(1, 8, 'B-BRAND')]
Топтыжка;[(1, 9, 'B-BRAND')]
